artist,album,track_n,line,lyric,track_title
Taylor Swift,Taylor Swift,3,28,I'll put his picture down and maybe get some sleep tonight,Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,29,'Cause he's the reason for the teardrops on my guitar,Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,30,The only one who's got enough of me to break my heart,Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,31,He's the song in the car,Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,32,"I keep singing, don't know why I do...",Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,33,"He's the time taken up, but there's never enough",Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,34,And he's all that I need to fall into,Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,35,Drew looks at me,Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,36,I fake a smile so he won't see,Teardrops On My Guitar
Taylor Swift,Taylor Swift,4,1,"I don't know what I want, so don't ask me",A Place In This World
Taylor Swift,Taylor Swift,4,2,Cause I'm still trying to figure it out,A Place In This World
Taylor Swift,Taylor Swift,4,3,"Don't know what's down this road, I'm just walking",A Place In This World
Taylor Swift,Taylor Swift,4,4,Trying to see through the rain coming down,A Place In This World
Taylor Swift,Taylor Swift,4,5,Even though I'm not the only one,A Place In This World
Taylor Swift,Taylor Swift,4,6,Who feels the way I do,A Place In This World
Taylor Swift,Taylor Swift,4,7,"I'm alone, on my own, and that's all I know",A Place In This World
Taylor Swift,Taylor Swift,4,8,"I'll be strong, I'll be wrong, oh but life goes on",A Place In This World
Taylor Swift,Taylor Swift,4,9,"Oh, I'm just a girl, trying to find a place in this world",A Place In This World
Taylor Swift,Taylor Swift,4,10,"Got the radio on, my old blue jeans",A Place In This World
Taylor Swift,Taylor Swift,4,11,And I'm wearing my heart on my sleeve,A Place In This World
Taylor Swift,Taylor Swift,4,12,"Feeling lucky today, got the sunshine",A Place In This World
Taylor Swift,Taylor Swift,4,13,Could you tell me what more do I need,A Place In This World
Taylor Swift,Taylor Swift,4,14,"And tomorrow's just a mystery, oh yeah",A Place In This World
Taylor Swift,Taylor Swift,4,15,But that's OK,A Place In This World
